65940,1642868,2
65941,1642979,1
65941,1642980,2
65941,1642981,3
65942,1642968,1
65942,1642969,2
65943,1642989,1
65944,1642997,1
65944,1642998,2
65944,1642999,3
65945,1642963,1
65946,1642982,1
65946,1642983,2
65946,1642984,3
65947,1790526,1
65947,1790527,2
65948,1642959,1
65948,1642960,2
65949,1642924,1
65950,1642977,1
65951,1642975,1
65951,1642976,2
65953,1642682,1
65953,1642683,2
65954,1642730,1
65954,1642731,2
65955,1642673,1
65955,1642674,2
65956,1642746,1
65957,1642665,1
65957,1642666,2
65958,1642675,1
65959,1676380,1
65961,1632130,1
65961,1632131,2
65961,1632132,3
65962,1632136,1
65962,1632137,2
65963,1632483,1
65963,1787415,2
65964,1632150,1
65965,1632138,1
65965,1632139,2
65966,1632376,1
65966,1632377,2
65967,1632515,1
65967,1632516,2
65967,1632517,3
65969,1631240,1
65969,1631241,2
65969,1631242,3
65970,1631805,1
65970,1631806,2
65970,1631807,3
65971,1631933,1
65971,1631934,2
65972,1786471,1
65973,1634024,1
65976,1630578,1
65977,1388378,1
65977,1388380,2
65977,1388382,3
65977,1388384,4
65978,1391636,1
65978,1391637,2
65978,1391638,3
65979,1391764,1
65979,1391765,2
65980,1391884,1
65980,1391885,2
65980,1391886,3
65981,1387395,1
65981,1387396,2
65981,1387397,3
65981,1387398,4
65981,1387399,5
65981,1387400,6
65981,1634774,7
65982,1387386,1
65982,1387387,2
65982,1387388,3
65983,1391608,1
65983,1391609,2
65983,1391610,3
65983,1391611,4
65983,1634719,5
65984,1386526,1
65984,1386527,2
65984,1386528,3
65984,1386529,4
65984,1386530,5
65986,1337631,1
65986,1337632,2
65987,1369757,1
65987,1369758,2
65988,1371915,1
65988,1371916,2
65989,1321488,1
65989,1321489,2
65989,1321490,3
65989,1635886,4
65990,1321826,1
65990,1321827,2
65991,1338115,1
65991,1338117,2
65992,1370118,1
65992,1370119,2
65993,1324639,1
65993,1324640,2
65993,1324641,3
65993,1324642,4
65993,1630254,5
65994,1630383,1
65995,1369236,1
65995,1369237,2
65995,1369238,3
65995,1369239,4
65996,1630258,1
65998,1348588,1
65998,1348589,2
65999,1349003,1
65999,1349004,2
66000,1392700,1
66000,1392701,2
66000,1392702,3
66001,1337815,1
66002,1348244,1
66002,1348245,2
66003,1348455,1
66003,1348456,2
66004,1368997,1
66004,1368998,2
66004,1368999,3
66004,1369000,4
66004,1369001,5
66006,1407571,1
66006,1407572,2
66007,1628261,1
66007,1628262,2
66008,1405513,1
66009,1406182,1
66009,1406183,2
66010,1405916,1
66010,1405917,2
66011,1406221,1
66012,1405691,1
66012,1405692,2
66013,1407560,1
66013,1407561,2
66014,1405603,1
66015,1406158,1
66016,1627989,1
66018,1405541,1
66019,1405826,1
66019,1405827,2
66020,1405412,1
66021,1405706,1
66021,1405707,2
66021,1629269,3
66022,1405488,1
66023,1406094,1
66024,1405799,1
66026,1410878,1
66027,1406145,1
66027,1406146,2
66028,1387377,1
66028,1387378,2
66029,1410990,1
66030,1411604,1
66031,1411527,1
66031,1411528,2
66031,1411529,3
66031,1411530,4
66032,1407575,1
66032,1407576,2
66033,1407644,1
66033,1407645,2
66035,1406192,1
66035,1406193,2
66036,1407620,1
66037,1407554,1
66037,1407555,2
66037,1407556,3
66037,1407557,4
66038,1407819,1
66039,1410953,1
66040,1416855,1
66042,1411088,1
66042,1411089,2
66042,1411090,3
66042,1411091,4
66043,1416785,1
66043,1416786,2
66043,1416787,3
66044,1386802,1
66044,1386803,2
66044,1386804,3
66045,1411481,1
66045,1411482,2
66047,1429777,1
66048,1430111,1
66049,1430127,1
66050,1429870,1
66051,1411559,1
66051,1411561,3
66052,1429793,1
66053,1429846,1
66054,1429842,1
66054,1429843,2
66055,1430095,1
66056,1411597,1
66057,1430100,1
66059,1407600,1
66059,1407601,2
66060,1430236,1
66060,1430237,2
66061,1430292,1
66061,1430293,2
66062,1430305,1
66062,1430306,2
66063,1407573,1
66063,1407574,2
66064,1430297,1
66064,1430298,2
66065,1430295,1
66066,1782655,1
66066,1782656,2
66067,1430302,1
66067,1720358,2
66068,1430283,1
66069,1430226,1
66069,1430227,2
66069,1430228,3
66071,1427053,1
66071,1427054,2
66072,1427001,1
66072,1427002,2
66073,1427057,1
66073,1427058,2
66073,1427059,3
66073,1427060,4
66073,1427061,5
66074,1425601,1
66074,1425602,2
66075,1426558,1
66075,1426559,2
66076,1427006,1
66076,1427007,2
66076,1427008,3
66077,1427099,1
66077,1427100,2
66077,1427101,3
66077,1636293,5
66079,1418398,1
66080,1628794,1
66080,1628795,2
66081,1421797,1
66082,1421824,1
66082,1421825,2
66083,1418273,1
66083,1418274,2
66084,1421890,1
66084,1421891,2
66085,1421812,1
66086,1421741,1
66087,1421860,1
66087,1421861,2
66088,1418384,1
66088,1418385,2
66090,1411484,1
66090,1411485,2
66091,1411031,1
66091,1411032,2
66092,1638496,1
66092,1638497,2
66093,1411592,1
66094,1410836,1
66094,1410837,2
66095,1411572,1
66096,1411524,1
66097,1411553,1
66098,1638491,1
66098,1638492,2
66099,1638442,1
66099,1638443,2
66101,1416911,1
66101,1635124,2
66102,1411498,1
66103,1418258,1
66104,1416800,1
66104,1416801,2
66105,1417775,1
66105,1417776,2
66106,1417837,1
66106,1417838,2
66109,1417722,1
66109,1417723,2
66112,1416940,1
66113,1624606,1
66115,1394517,1
66115,1394518,2
66115,1394519,3
66115,1394520,4
66116,1400820,1
66116,1400821,2
66116,1400822,3
66116,1400823,4
66117,1401565,1
66117,1401566,2
66117,1401567,3
66118,1400855,1
